id,nombre,album,creador,opennotes,letras,guitarra,bajo,segundag.,drum,key,imagen,video,link,link_mf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Atlantia,Gaia III: Atlantia,Darkof GT,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_lll.jpg,https://www.youtube.com/embed/Z2rHP5McfyY,https://www.mediafire.com/file/vl87mbbn0fp6ywu,https://www.mediafire.com/file/vl87mbbn0fp6ywu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Atlantia,Gaia III: Atlantia,LMBECIL1832,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_lll.jpg,https://www.youtube.com/embed/HV3GaXX4TMk,https://www.mediafire.com/file/1mzc1ohaywkqprt,https://www.mediafire.com/file/1mzc1ohaywkqprt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bandera negra,Bandera Negra,Kisame,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/bandera.jpg,sinvideo,https://www.mediafire.com/file/ioau8iuko8vawqw,https://www.mediafire.com/file/ioau8iuko8vawqw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Belfast,Belfast,Danon94,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/belfast.jpg,https://www.youtube.com/embed/kHoIP7nYqSc,https://www.mediafire.com/file/4fv1fpaggl37lj2,https://www.mediafire.com/file/4fv1fpaggl37lj2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Cadaveria,Ilussia,Kisame,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/ilussia.jpg,sinvideo,https://www.mediafire.com/file/v7ftqaaf19fd2od,https://www.mediafire.com/file/v7ftqaaf19fd2od,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Dama negra,Belfast,Danon94,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/belfast.jpg,https://www.youtube.com/embed/uN04R5yR8vY,https://www.mediafire.com/file/cpmyo6fobwxamfz,https://www.mediafire.com/file/cpmyo6fobwxamfz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Desde mi cielo,Gaia II: La Voz Dormida,"Dayaah, LMBECIL1832",no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,https://www.youtube.com/embed/aGhbZ1owvE8,https://www.mediafire.com/file/6v7k4bwau0dcwr9,https://www.mediafire.com/file/6v7k4bwau0dcwr9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Diabulus in musica,Gaia II: La Voz Dormida,Danon94,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,https://www.youtube.com/embed/gWuoAJTZl80,https://www.mediafire.com/file/7lws1zpwqyj63qi,https://www.mediafire.com/file/7lws1zpwqyj63qi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Dies irae,Gaia III: Atlantia,Darkof GT,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,https://www.youtube.com/embed/rLN7R5G6RG0,https://www.mediafire.com/file/9gq5olz2eda8uzu,https://www.mediafire.com/file/9gq5olz2eda8uzu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Dies irae,Gaia III: Atlantia,"Dayaah, LMBECIL1832",si,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,https://www.youtube.com/embed/VTOU5tdTDeQ,https://www.mediafire.com/file/c18i6qxxkktm8zj,https://www.mediafire.com/file/c18i6qxxkktm8zj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Duerme,Finisterra,LMBECIL1832,si,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/8S9Yp6x0ums,https://www.mediafire.com/file/6hlr0zw3jmmi3n8,https://www.mediafire.com/file/6hlr0zw3jmmi3n8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,El arbol de la noche triste,Gaia,Danon94,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia.jpg,https://www.youtube.com/embed/xY_dTyC-GrQ,https://www.mediafire.com/file/q9g1tv7sbj4xm0w,https://www.mediafire.com/file/q9g1tv7sbj4xm0w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,El atrapasueños,Gaia,Danon94,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia.jpg,https://www.youtube.com/embed/rbYG2zmlGwI,https://www.mediafire.com/file/qv15nqk1blkugmv,https://www.mediafire.com/file/qv15nqk1blkugmv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,El atrapasueños,Gaia,_edxgbrn,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia.jpg,sinvideo,https://www.mediafire.com/file/crh7ro0o94rnaix,https://www.mediafire.com/file/crh7ro0o94rnaix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,El atrapasueños,Gaia,Lipidogo,no,si,✰✰✰★,✰✰✰★,✰✰✰★,✰✰✰★,✰✰✰✰,datasong/album/gaia.jpg,https://www.youtube.com/embed/OPEHIUJxQYY,https://www.mediafire.com/file/rrnwtptnphp2tgf,https://www.mediafire.com/file/rrnwtptnphp2tgf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,El atrapasueños,Gaia,SkyDown,no,si,★★★★,★★★★,★★★★,★★★★,★★★★,datasong/album/gaia.jpg,https://www.youtube.com/embed/qjq3CAWsIIc,https://www.mediafire.com/file/jsp3dqzft7lekdj,https://www.mediafire.com/file/jsp3dqzft7lekdj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,El callejon del infierno,Gaia II: La Voz Dormida,Metallicamilo311,si,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,https://www.youtube.com/embed/Uim9m4XVvQ,https://www.mediafire.com/file/kc8b653a4qm7tn5,https://www.mediafire.com/file/kc8b653a4qm7tn5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,El cantar de la luna oscura,Jesus de Chamberi,hignfine,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/chamberi.jpg,sinvideo,https://www.mediafire.com/file/omzk79ew3e4h8xj,https://www.mediafire.com/file/omzk79ew3e4h8xj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,El cantar de la luna oscura 2.0,The Best of Oz,superlegna7013,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/thebestoz.jpg,sinvideo,https://www.mediafire.com/file/8jp17ujvh1y148g,https://www.mediafire.com/file/8jp17ujvh1y148g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,El lago,Mago de Oz,andrew_etg,no,si,★★★★,★★★★,★★★★,★★★★,★★★★,datasong/album/magodeoz.jpg,sinvideo,https://www.mediafire.com/file/00zkmc8fsb554ke,https://www.mediafire.com/file/00zkmc8fsb554ke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,El lago,La Bruja,_edxgbrn,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/labruja.jpg,sinvideo,https://www.mediafire.com/file/ybiqv8weui0bjdx,https://www.mediafire.com/file/ybiqv8weui0bjdx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,El libro de las sombras,"Hechizos, Pocimas y Brujeria",Danon94,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/leyenda.jpg,https://www.youtube.com/embed/owqfn-fO648,https://www.mediafire.com/file/mai2jp65azmifq2,https://www.mediafire.com/file/mai2jp65azmifq2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,El libro de las sombras,"Hechizos, Pocimas y Brujeria",_edxgbrn,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/leyenda.jpg,sinvideo,https://www.mediafire.com/file/lojc3ou1mqapoan,https://www.mediafire.com/file/lojc3ou1mqapoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,El libro de las sombras,"Hechizos, Pocimas y Brujeria",GMP50,no,no,✰★★★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/leyenda.jpg,https://www.youtube.com/embed/_sxsIr3zMZc,https://www.mediafire.com/file/kw764mjm2f7v0ay,https://www.mediafire.com/file/kw764mjm2f7v0ay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,El libro de las sombras,"Hechizos, Pocimas y Brujeria",KittyLucy_UwU,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/leyenda.jpg,sinvideo,https://www.mediafire.com/file/og6gty5ma9vsw1x,https://www.mediafire.com/file/og6gty5ma9vsw1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,El libro de las sombras,"Hechizos, Pocimas y Brujeria","Qweflol, ZpyrRX",no,si,★★★★,★★★★,★★★★,★★★★,★★★★,datasong/album/leyenda.jpg,https://www.youtube.com/embed/d8KnSpGwf6M,https://www.mediafire.com/file/mucb0ea6xtbgml4,https://www.mediafire.com/file/mucb0ea6xtbgml4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,El mercado de las brujas,"Hechizos, Pocimas y Brujeria",Danon94,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/hechizos.jpg,https://www.youtube.com/embed/d7YOiHK3I0A,https://www.mediafire.com/file/p1b364347jata4p,https://www.mediafire.com/file/p1b364347jata4p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,El pacto (En Vivo),Madrid las Ventas,LMBECIL1832,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/madridlasv.jpg,https://www.youtube.com/embed/6wVFUz-oI4c,https://www.mediafire.com/file/o8hf0rwgawpvn1g,https://www.mediafire.com/file/o8hf0rwgawpvn1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,El paseo de los tristes,Gaia II: La Voz Dormida,Daniel,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,sinvideo,https://www.mediafire.com/file/tp04l3oc982uuua,https://www.mediafire.com/file/tp04l3oc982uuua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,El paseo de los tristes,Gaia II: La Voz Dormida,Danon94,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,https://www.youtube.com/embed/pUGAVfDzNKc,https://www.mediafire.com/file/3o9ahv0sm9q95kr,https://www.mediafire.com/file/3o9ahv0sm9q95kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,El paseo de los tristes,Gaia II: La Voz Dormida,GhostByob,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,sinvideo,https://www.mediafire.com/file/so56xj0x93hghk0,https://www.mediafire.com/file/so56xj0x93hghk0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,El poema de la lluvia triste 2.0,CeltiLand,Zbagint,si,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/DZggQSj-2yQ,https://www.mediafire.com/file/uwal657ma9o7g2o,https://www.mediafire.com/file/uwal657ma9o7g2o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,El que quiera entender que entienda,Finisterra,aeromark,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/3n9xwfdr9ok,https://www.mediafire.com/file/l2x8yct9x9xs276,https://www.mediafire.com/file/l2x8yct9x9xs276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,El que quiera entender que entienda,Finisterra,Albertus,no,no,✰★★★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,sinvideo,https://www.mediafire.com/file/31ks1z324jthtmp,https://www.mediafire.com/file/31ks1z324jthtmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,El que quiera entender que entienda,Finisterra,LMBECIL1832,si,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰★,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/EzPXLRa9D7A,https://www.mediafire.com/file/fnagulcu0d0u8d1,https://www.mediafire.com/file/fnagulcu0d0u8d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,El rincon de los sentidos,La Ciudad de los Arboles,Lost,si,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/losarboles.jpg,sinvideo,https://www.mediafire.com/file/08442gzeuy1o5g0,https://www.mediafire.com/file/08442gzeuy1o5g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,El rincon de los sentidos,La Ciudad de los Arboles,Row,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/losarboles.jpg,https://www.youtube.com/embed/sH0uqQc3Sq4,https://www.mediafire.com/file/q1a0prfowgkwyvd,https://www.mediafire.com/file/q1a0prfowgkwyvd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,El santo grial,La Leyenda de la Mancha,aeromark,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/leyenda.jpg,https://www.youtube.com/embed/09K1JOonFhY,https://www.mediafire.com/file/28zamg10qsxk7x9,https://www.mediafire.com/file/28zamg10qsxk7x9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,El santo grial,La Leyenda de la Mancha,hereje888,no,no,★★★★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/leyenda.jpg,https://www.youtube.com/embed/guPDzW-gN_M,https://www.mediafire.com/file/ejvrvd81t1nxdgm,https://www.mediafire.com/file/ejvrvd81t1nxdgm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,El santo grial,La Leyenda de la Mancha,LMBECIL1832,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰★,✰✰✰✰,datasong/album/leyenda.jpg,https://www.youtube.com/embed/9nXWnawligk,https://www.mediafire.com/file/9zhex9d98psw58b,https://www.mediafire.com/file/9zhex9d98psw58b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,El señor de los gramillos,Finisterra,Danon94,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/r3J6Q2baaPs,https://www.mediafire.com/file/j4098vd8bf6drsj,https://www.mediafire.com/file/j4098vd8bf6drsj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,El señor de los gramillos,Finisterra,LMBECIL1832,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/xMUpCGrajSI,https://www.mediafire.com/file/2x1tkvvca806rys,https://www.mediafire.com/file/2x1tkvvca806rys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,El septimo sello,Ira Dei,Zbagint,si,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/iradei.jpg,sinvideo,https://www.mediafire.com/file/i8x92mlsk4vw4wz,https://www.mediafire.com/file/i8x92mlsk4vw4wz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Fiesta pagana,Finistera,AleM,no,no,✰✰★★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/4njxo9tjpU4,https://www.mediafire.com/file/v24hf3lvpds4wzd,https://www.mediafire.com/file/v24hf3lvpds4wzd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Fiesta pagana,Finisterra,bernie,no,si,★★★★,★★★★,★★★★,★★★★,★★★★,datasong/album/finisterra.jpg,https://www.youtube.com/embed/za1yz7L6jUs,https://www.mediafire.com/file/26adb3fnfpmmwy5,https://www.mediafire.com/file/26adb3fnfpmmwy5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Fiesta pagana,Finisterra,Danon94,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/sFy48Ch2TK4,https://www.mediafire.com/file/a9brw9kzesh63p9,https://www.mediafire.com/file/a9brw9kzesh63p9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Fiesta pagana 2.0,CeltiLand,Sheishuu,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/celtiland.jpg,sinvideo,https://www.mediafire.com/file/cgvktxfp7nuc7wd,https://www.mediafire.com/file/cgvktxfp7nuc7wd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Finisterra,Finisterra,Danon94,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/CGUZRrQ2Um8,https://www.mediafire.com/file/x84cpukihcnue64,https://www.mediafire.com/file/x84cpukihcnue64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Finisterra,Finisterra,Darkof GT,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/BIxAOHjZiOM,https://www.mediafire.com/file/03ac4obc6eulcmy,https://www.mediafire.com/file/03ac4obc6eulcmy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Finisterra,Finisterra,Jose_elsopa,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/Wu3sFhn86Y0,https://www.mediafire.com/file/idwyhubwkoaklxw,https://www.mediafire.com/file/idwyhubwkoaklxw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Fuerza y honor el dorado,Gaia III: Atlantia,LMBECIL1832,no,no,✰✰✰★,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,https://www.youtube.com/embed/WBdmcl50dpg,https://www.mediafire.com/file/bl8hngzfzp1h59z,https://www.mediafire.com/file/bl8hngzfzp1h59z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Fur immer,Gaia III: Atlantia,Andestruction,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,https://www.youtube.com/embed/f_OcZwRpOL4,https://www.mediafire.com/file/z70z951jz37s5a0,https://www.mediafire.com/file/z70z951jz37s5a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,63
64,Fur immer,Gaia III: Atlantia,Danon94,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia_ll.jpg,https://www.youtube.com/embed/bSZmgIpo9OE,https://www.mediafire.com/file/p8m4lsfw8t4edlf,https://www.mediafire.com/file/p8m4lsfw8t4edlf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Gaia,Gaia,Danon94,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia.jpg,https://www.youtube.com/embed/dzOWjhNdUMw,https://www.mediafire.com/file/9prnp3z760xh1qf,https://www.mediafire.com/file/9prnp3z760xh1qf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Gaia,Gaia,Smuggling,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia.jpg,https://www.youtube.com/embed/10brSOEGjpw,https://www.mediafire.com/file/xry7ukok99chj7e,https://www.mediafire.com/file/xry7ukok99chj7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Gaia,Gaia,vpetrucci93,no,no,★★★★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/gaia.jpg,sinvideo,https://www.mediafire.com/file/20y8x8ojq1e258d,https://www.mediafire.com/file/20y8x8ojq1e258d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Girls just want to have fun (Cover),Que el Viento Sople a tu Favor,"Dayaah, LMBECIL1832",no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/atufavor.jpg,https://www.youtube.com/embed/b2p1yAiAFHg,https://www.mediafire.com/file/8jmomnf0gc4qfwy,https://www.mediafire.com/file/8jmomnf0gc4qfwy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Hasta que el cuerpo aguante,Finisterra,Danon94,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/4-LVR63f3WU,https://www.mediafire.com/file/bebrfta0zdud99c,https://www.mediafire.com/file/bebrfta0zdud99c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Hasta que el cuerpo aguante,Finisterra,Mastergox,no,si,★★★★,★★★★,★★★★,★★★★,★★★★,datasong/album/finisterra.jpg,sinvideo,https://www.mediafire.com/file/nmt14beyh4hw0o1,https://www.mediafire.com/file/nmt14beyh4hw0o1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
